drug_name,unique_prescriber,total_drug_cost
CYCLOSPORINE,2,16362
OLOPATADINE HCL,4,16223
BISOPROLOL-HYDROCHLOROTHIAZIDE,69,16197
BARACLUDE,1,16103
DEXTROAMPHETAMINE SULFATE,5,16049
SODIUM POLYSTYRENE SULFONATE,8,16039
EMSAM,1,16021
PROCHLORPERAZINE MALEATE,71,16002
CYCLOPHOSPHAMIDE,1,15971
CEFPODOXIME PROXETIL,11,15937
TANZEUM,3,15882
DIFLUNISAL,2,15720
ADDERALL,2,15682
LIDOCAINE HCL,31,15594
CEFADROXIL,22,15582
EVOTAZ,1,15545
FOSINOPRIL SODIUM,56,15477
TRETINOIN,6,15428
E.E.S. 200,2,15325
OXISTAT,1,15161
ARMOUR THYROID,24,14810
AMBIEN,3,14548
DUTASTERIDE,3,14499
ADDERALL XR,3,14243
MYCOBUTIN,1,14221
ACEBUTOLOL HCL,7,14189
NEOMYCIN-POLYMYXIN-HYDROCORT,24,14131
INCRUSE ELLIPTA,2,14056
RAPAMUNE,1,14015
VERAPAMIL ER PM,9,13976
BROVANA,2,13780
TESTOSTERONE,3,13772
ARIMIDEX,1,13740
IMIPRAMINE HCL,34,13705
TRIMETHOPRIM,17,13676
AUTOSHIELD DUO PEN NEEDLE,7,13528
RILUZOLE,3,13455
EASY COMFORT PEN NEEDLES,10,13387
MODERIBA,1,13287
NAMZARIC,2,13187
DEPAKOTE SPRINKLE,1,12900
VALIUM,2,12815
GENGRAF,2,12813
NUTROPIN AQ NUSPIN,1,12748
AZASITE,2,12734
CALCIPOTRIENE-BETAMETHASONE DP,1,12716
EXTAVIA,1,12695
IRINOTECAN HCL,1,12690
OXAZEPAM,12,12639
PARNATE,1,12299
TERCONAZOLE,10,12274
BEPREVE,3,12253
IMIQUIMOD,6,12077
AMPICILLIN SODIUM,4,12020
MEDROXYPROGESTERONE ACETATE,30,12010
MINOXIDIL,38,11967
CABERGOLINE,7,11943
SULFASALAZINE DR,8,11797
PROPYLTHIOURACIL,11,11677
STAXYN,1,11676
EPOGEN,1,11646
TYGACIL,1,11639
TRIHEXYPHENIDYL HCL,41,11552
CANDESARTAN-HYDROCHLOROTHIAZID,9,11476
XALATAN,4,11467
TIROSINT,4,11439
MESALAMINE,3,11302
GLYCOPYRROLATE,18,11288
LOXAPINE,9,11196
DOXERCALCIFEROL,2,11103
KLOR-CON 8,22,11092
HYDROCODONE-IBUPROFEN,21,11049
CYPROHEPTADINE HCL,16,11024
MEPROBAMATE,2,11022
LOTRONEX,1,10980
AXIRON,2,10931
PROTOPIC,1,10915
ADACEL TDAP,13,10787
DIFLORASONE DIACETATE,2,10711
NITROGLYCERIN,3,10655
RYTARY,1,10629
AZACTAM,1,10502
SSD,21,10384
COSOPT PF,3,10322
DEMECLOCYCLINE HCL,3,10294
EVISTA,3,10243
PENICILLIN V POTASSIUM,54,10173
ZORVOLEX,2,10147
THIORIDAZINE HCL,14,10075
ERY-TAB,2,9946
PROBENECID,11,9895
CLOBETASOL EMOLLIENT,5,9785
COMFORT EZ,10,9743
RIBAVIRIN,4,9686
OSMOPREP,3,9446
ZYMAXID,1,9420
FINACEA,3,9410
BOOSTRIX TDAP,8,9391
VERAPAMIL SR,10,9352
LEVOXYL,16,9276
VIVELLE-DOT,6,9240
BUTORPHANOL TARTRATE,6,8991
RIFAMPIN,9,8990
AMILORIDE-HYDROCHLOROTHIAZIDE,8,8957
EASY TOUCH PEN NEEDLE,21,8939
PHENAZOPYRIDINE HCL,8,8762
AMILORIDE HCL,11,8627
NICOTROL,2,8586
SOMA,1,8489
UROXATRAL,1,8429
CEFPROZIL,7,8397
RIFABUTIN,1,8276
RIFADIN,1,8254
DESLORATADINE,15,8235
TRIAZOLAM,17,8195
KLOR-CON,2,8031
PREVALITE,5,8016
FLURAZEPAM HCL,12,7997
APTIVUS,1,7996
CHOLESTYRAMINE LIGHT,8,7959
TOFRANIL,1,7948
STALEVO 100,1,7925
PENICILLIN G SODIUM,1,7923
DEXMETHYLPHENIDATE HCL ER,3,7899
ZALEPLON,20,7889
KADIAN,1,7867
SUMATRIPTAN,2,7865
COMBIPATCH,3,7779
COZAAR,4,7673
DENAVIR,1,7671
NALTREXONE HCL,8,7601
DARAPRIM,1,7559
FEMARA,1,7557
MESTINON,1,7527
LAMIVUDINE HBV,2,7483
OPIUM TINCTURE,1,7446
ZYLET,1,7376
LASTACAFT,2,7362
OXALIPLATIN,1,7343
FOCALIN XR,1,7334
MICARDIS HCT,2,7330
PAXIL,1,7330
STALEVO 200,1,7327
BUTALBITAL-ASPIRIN-CAFFEINE,7,7284
PATANASE,2,7263
TRANYLCYPROMINE SULFATE,1,7225
METOPROLOL-HYDROCHLOROTHIAZIDE,13,7210
NESINA,2,7200
HYZAAR,4,7175
SALSALATE,1,7154
TREXIMET,1,7078
INTUNIV,1,7074
DOXY 100,1,7057
RIBASPHERE,4,7018
TERBINAFINE HCL,36,6984
METAXALONE,2,6937
PLAQUENIL,2,6926
PHOSLYRA,2,6873
LORZONE,1,6851
DYRENIUM,2,6832
LYSODREN,1,6830
TIMOPTIC OCUDOSE,1,6805
AVAPRO,2,6751
ISOSORBIDE MONONITRATE,24,6715
ORPHENADRINE CITRATE,9,6714
EQUETRO,2,6703
ATOVAQUONE-PROGUANIL HCL,1,6693
SYMLINPEN 60,1,6676
BELSOMRA,2,6674
ULTRAM,1,6626
BUTALBITAL COMPOUND-CODEINE,4,6580
ALVESCO,2,6552
NOVOFINE,10,6448
CLINISOL,2,6434
BETAXOLOL HCL,4,6426
ARCAPTA NEOHALER,2,6421
NOVOTWIST,5,6376
PERFOROMIST,1,6286
BUTALB-CAFF-ACETAMINOPH-CODEIN,5,6281
ALTOPREV,1,6210
ATROPINE SULFATE,7,6172
KIONEX,7,6171
PEG-3350 AND ELECTROLYTES,16,6111
URSO FORTE,1,6059
AXERT,1,6022
ENALAPRIL-HYDROCHLOROTHIAZIDE,25,6016
FOSAMAX PLUS D,2,6005
GALANTAMINE HYDROBROMIDE,1,6004
METHYLPHENIDATE LA,2,5983
ACETYLCYSTEINE,6,5977
FLUTAMIDE,2,5974
TRANDOLAPRIL,17,5932
GAVILYTE-C,9,5916
ENULOSE,18,5869
PEN NEEDLES,7,5837
ENTRESTO,1,5833
CLIMARA,3,5829
PROAIR RESPICLICK,6,5800
HYSINGLA ER,1,5789
ULTRACET,1,5733
ETHAMBUTOL HCL,7,5659
DEXTROSE IN WATER,5,5648
GELNIQUE,1,5636
NEORAL,1,5518
SELEGILINE HCL,6,5503
LANOXIN,4,5439
PAZEO,2,5429
INDERAL LA,1,5402
VICODIN ES,3,5333
VGO 30,1,5276
CEFTAZIDIME,4,5256
NIASPAN,3,5193
ETHOSUXIMIDE,2,5076
ELIGARD,1,5037
LEVITRA,1,5024
NICARDIPINE HCL,1,4977
CIMETIDINE,11,4927
GLUCOPHAGE XR,4,4899
PANCRELIPASE 5,000,5,4897
AMOXICILLIN-CLAVULANATE POT ER,1,4875
HALOPERIDOL LACTATE,10,4843
ADVICOR,2,4841
ESTRADIOL-NORETHINDRONE ACETAT,3,4828
COREG,1,4808
ACIPHEX,1,4797
PENTAZOCINE-NALOXONE HCL,3,4759
PERPHENAZINE-AMITRIPTYLINE,4,4734
NICOTROL NS,1,4719
GRISEOFULVIN ULTRAMICROSIZE,1,4708
ACAMPROSATE CALCIUM,3,4690
RESCRIPTOR,1,4646
FAMCICLOVIR,6,4635
TEKTURNA HCT,2,4565
PULMICORT,1,4519
FAZACLO,1,4486
NEOMYCIN-POLYMYXIN-HC,5,4411
CROMOLYN SODIUM,5,4407
NEXIUM I.V.,1,4392
MONUROL,1,4366
TERBUTALINE SULFATE,2,4336
DEXMETHYLPHENIDATE HCL,4,4288
VITAMIN D2,18,4209
ISTALOL,1,4166
FLURBIPROFEN SODIUM,3,4136
GRANISETRON HCL,1,4136
INDOMETHACIN,10,4134
DISOPYRAMIDE PHOSPHATE,2,4070
STAVUDINE,1,4052
METHYLPHENIDATE HCL CD,2,4050
CYCLOSET,1,4014
CALAN SR,1,3997
INSUPEN,2,3985
MIRAPEX,1,3979
GENERLAC,10,3961
FLUVASTATIN SODIUM,1,3939
SPS,9,3900
TETRACYCLINE HCL,2,3900
NEOMYCIN SULFATE,7,3857
THEO-24,3,3851
WELLBUTRIN SR,1,3846
LEVOFLOXACIN-D5W,2,3804
LITHOBID,1,3804
GLEOSTINE,1,3781
DIPHENHYDRAMINE HCL,4,3755
NITRO-DUR,2,3716
LEVOCARNITINE,2,3706
MACRODANTIN,1,3698
ARTHROTEC 75,1,3671
PEN NEEDLE,12,3665
VOLTAREN-XR,1,3665
CARBOPLATIN,1,3610
REMERON,1,3607
MOEXIPRIL HCL,5,3580
MOVANTIK,1,3557
TRUEPLUS INSULIN SYRINGE,8,3554
OSENI,1,3502
PROZAC,1,3465
STRIVERDI RESPIMAT,2,3455
PROBENECID-COLCHICINE,4,3376
ZIRGAN,1,3369
FOSINOPRIL-HYDROCHLOROTHIAZIDE,2,3323
PROZAC WEEKLY,1,3280
PRILOSEC,1,3272
ALCLOMETASONE DIPROPIONATE,2,3262
BIMATOPROST,1,3257
DEPO-TESTOSTERONE,5,3246
DAYPRO,1,3241
AMPICILLIN-SULBACTAM,3,3234
CORGARD,1,3215
CHLORDIAZEPOXIDE-AMITRIPTYLINE,4,3153
TRIMETHOBENZAMIDE HCL,3,3124
ELIPHOS,1,3115
QUINAPRIL-HYDROCHLOROTHIAZIDE,6,3114
FLUOXETINE DR,1,3111
CEFAZOLIN SODIUM,4,3094
GLUCOPHAGE,4,3091
E.E.S. 400,1,3083
DEXTROSE 5%-0.45% NACL-KCL,1,3062
MATZIM LA,3,3016
NIZATIDINE,6,2990
RIMSO-50,1,2954
VGO 20,1,2930
OXANDROLONE,1,2926
OLEPTRO ER,1,2919
VEXOL,2,2904
MINASTRIN 24 FE,2,2852
SULFACETAMIDE SODIUM,4,2847
CIPROFLOXACIN-D5W,2,2845
PAREGORIC,1,2838
LOPID,1,2797
NORETHINDRONE ACETATE,2,2789
DISULFIRAM,3,2785
AFEDITAB CR,8,2783
PREPOPIK,2,2783
DONEPEZIL HCL ODT,5,2782
DEXTROSE 5%-0.45% NACL,3,2768
TRAVASOL,2,2760
NARATRIPTAN HCL,3,2729
CAPTOPRIL-HYDROCHLOROTHIAZIDE,3,2705
LEUCOVORIN CALCIUM,6,2702
SINGLE USE SWAB,30,2697
AZTREONAM,1,2654
SODIUM BICARBONATE,3,2633
THEOPHYLLINE,2,2592
PANCREAZE,1,2586
BUTALBITAL-ACETAMINOPHEN,2,2534
LESCOL XL,1,2527
ZOCOR,1,2516
CELEXA,1,2509
PHOSPHA 250 NEUTRAL,4,2451
PRED FORTE,1,2436
FIORICET,1,2435
SOTALOL AF,6,2427
AMARYL,2,2418
ASCOMP WITH CODEINE,2,2389
RITALIN LA,1,2336
DILATRATE-SR,1,2323
FOLIC ACID,15,2301
HYDROCORTISONE-ACETIC ACID,2,2294
TRILIPIX,1,2291
DILANTIN-125,1,2267
CODEINE SULFATE,2,2260
ZOLMITRIPTAN,2,2241
QUALAQUIN,1,2202
ROCALTROL,1,2193
DEPO-ESTRADIOL,1,2185
LEVOBUNOLOL HCL,9,2185
DETROL LA,1,2135
MEDROL,2,2131
ALPRAZOLAM ER,6,2113
CHLORDIAZEPOXIDE HCL,14,2112
DICLOXACILLIN SODIUM,5,2092
OXYCODONE HCL-ASPIRIN,2,2090
PRAVACHOL,1,2083
EPINASTINE HCL,3,2076
AVALIDE,1,2045
METHOTREXATE SODIUM,8,2038
TIGAN,1,2028
FML S.O.P.,1,2022
K-SOL,1,2002
NALBUPHINE HCL,1,1993
MICARDIS,1,1976
PACLITAXEL,1,1948
ZIDOVUDINE,3,1943
NORPACE,1,1920
GLUCOTROL XL,1,1906
BETIMOL,1,1901
SELENIUM SULFIDE,5,1847
CYTOMEL,1,1811
LIDOCAINE HCL VISCOUS,12,1804
CHLORZOXAZONE,5,1799
METHYLDOPA,9,1783
ISRADIPINE,2,1764
MAPROTILINE HCL,1,1744
ORTHO TRI-CYCLEN LO,1,1720
TOBREX,1,1704
CLICKFINE,5,1665
VICODIN,1,1653
FLURBIPROFEN,6,1602
EASY TOUCH,5,1597
CEFEPIME,1,1563
FLUOCINONIDE-E,1,1560
FORTICAL,2,1547
GUANFACINE HCL,11,1515
METADATE ER,1,1504
AMPICILLIN TRIHYDRATE,10,1499
POLYMYXIN B SUL-TRIMETHOPRIM,9,1475
PRENATE DHA,1,1475
CLORPRES,1,1452
MOXEZA,1,1449
PRIMAQUINE,1,1433
TOBRAMYCIN,7,1430
AMIKACIN SULFATE,1,1426
NUVARING,1,1426
INCONTROL PEN NEEDLE,3,1409
XYZAL,1,1355
BLEPHAMIDE S.O.P.,1,1306
POTASSIUM PHOSPHATE,1,1303
FLAVOXATE HCL,1,1282
ACETIC ACID,2,1280
ESTROPIPATE,4,1278
PHENELZINE SULFATE,2,1270
MENOSTAR,1,1230
PROCALAMINE,1,1171
ALPRAZOLAM ODT,1,1135
ORAP,1,1129
MONOJECT INSULIN SAFETY SYRNG,2,1117
TRILYTE WITH FLAVOR PACKETS,3,1112
METHYLPREDNISOLONE SOD SUCC,1,1110
EASY COMFORT INSULIN SYRINGE,3,1108
TIAZAC,1,1070
PAPAVERINE HCL,1,1066
COMPRO,1,1059
SF 5000 PLUS,5,1059
ZEMPLAR,1,1041
CARDURA,1,1034
EASY-TOUCH INSULIN SYRINGE,4,992
ULTRA COMFORT,5,955
DEXAMETHASONE SODIUM PHOSPHATE,5,954
NORTREL,4,921
LORAZEPAM INTENSOL,2,910
MOEXIPRIL-HYDROCHLOROTHIAZIDE,3,901
ISONIAZID,6,896
WYMZYA FE,1,880
CLARITHROMYCIN ER,1,864
IMIPENEM-CILASTATIN SODIUM,1,848
PRENATAL PLUS,4,840
MONOJECT INSULIN SYRINGE,2,837
HYDROCORTISONE BUTYRATE,1,803
LACTATED RINGERS,1,793
HYDROMET,1,764
PREVIDENT,2,760
MARGESIC,1,730
OGESTREL,1,707
GLUCOTROL,1,699
HEALTHY ACCENTS UNIFINE PENTIP,2,693
MONONESSA,2,673
NEVIRAPINE,2,656
GIANVI,1,635
JUNEL FE,2,635
HYOSCYAMINE SULFATE,1,630
EASY TOUCH ALCOHOL PREP PADS,8,625
SOLU-CORTEF,2,620
TRI-PREVIFEM,2,610
NEFAZODONE HCL,1,592
PREVIDENT 5000,3,592
GILDESS FE,3,584
ORSYTHIA,2,583
DIPYRIDAMOLE,4,577
APRI,2,575
DANAZOL,1,570
DYAZIDE,1,566
MENEST,1,566
ALYACEN,2,565
CONSTULOSE,2,563
PREDNISOLONE,4,556
PRINIVIL,1,526
K-PHOS ORIGINAL,1,501
GILDESS,2,490
ELIXOPHYLLIN,1,471
BUPROBAN,1,465
CETIRIZINE HCL,2,453
SURE COMFORT ALCOHOL,3,453
IVERMECTIN,1,448
KENALOG-40,2,446
GOLYTELY,1,434
SULFACETAMIDE-PREDNISOLONE,1,434
NITRO-BID,1,430
CARBINOXAMINE MALEATE,1,427
TRINESSA,2,409
NECON,2,400
ZOVIA 1-50E,1,395
QUINIDINE SULFATE,2,388
MICROZIDE,1,385
TRI-LEGEST FE,1,385
CORTISONE ACETATE,1,384
SPRINTEC,3,377
FLUCONAZOLE-NACL,1,370
LASIX,2,365
CAMILA,2,341
ENPRESSE,1,336
UNIFINE PENTIPS PLUS,1,329
GLYBURIDE MICRONIZED,4,326
URIN D.S.,2,306
BACITRACIN-POLYMYXIN,1,300
ORACIT,1,298
TOLAZAMIDE,1,288
PACERONE,1,280
CRYSELLE,1,275
ALCOHOL SWABS,4,273
BALZIVA,1,267
CLEMASTINE FUMARATE,1,254
PHILITH,1,253
GENTAK,1,252
EASY TOUCH INSULIN SYRINGE,2,248
WATER,2,246
ALPRAZOLAM XR,1,241
KARIVA,1,238
LEVORA-28,1,237
DENTA 5000 PLUS,2,236
PORTIA,1,235
TRIVORA-28,1,233
AZURETTE,1,225
VANCOMYCIN,1,211
ERRIN,1,203
LITHIUM,1,200
BENZONATATE,2,186
MONO-LINYAH,1,186
AVIANE,1,175
SOLU-MEDROL,1,172
MICROGESTIN FE,1,160
TRI-SPRINTEC,1,147
PRENATAL VITAMIN PLUS LOW IRON,1,128
CARTEOLOL HCL,1,109
LITE TOUCH,1,109
MAGNESIUM SULFATE,1,99
NAPHAZOLINE HCL,1,96
CYANOCOBALAMIN INJECTION,1,85
LEVONORGESTREL-ETH ESTRADIOL,1,80
ALCOHOL SWAB,1,52
ALCOHOL PREP SWABS,1,40
